NAIIB ID;NAIIB label;CLANAE ID;CLANAE label
;;6290030;COMERCIO MINORISTAS, NO CLASIFICADOS EN OTRA PARTE
011110;CULTIVO DE CEREALES EXCEPTO LOS FORRAJEROS Y LOS DE SEMILLAS PARA LA SIEMBRA;1100020;CEREALES,OLEAGINOSAS Y FORRAJERAS
011120;CULTIVO DE CEREALES FORRAJEROS;1100020;CEREALES,OLEAGINOSAS Y FORRAJERAS
011130;CULTIVO DE OLEAGINOSAS EXCEPTO EL DE SEMILLAS PARA SIEMBRA;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011130;CULTIVO DE OLEAGINOSAS EXCEPTO EL DE SEMILLAS PARA SIEMBRA;1100020;CEREALES,OLEAGINOSAS Y FORRAJERAS
011140;CULTIVO DE  PASTOS FORRAJEROS;1100020;CEREALES,OLEAGINOSAS Y FORRAJERAS
011211;CULTIVO DE PAPAS Y BATATAS;1100026;PAPAS Y BATATAS
011212;CULTIVO DE MANDIOCA;1100025;LEGUMBRES Y HORTALIZAS
011220;CULTIVO DE BULBOS, BROTES, RAÍCES Y HORTALIZAS DE FRUTO;1100025;LEGUMBRES Y HORTALIZAS
011230;CULTIVO DE HORTALIZAS DE HOJA Y DE OTRAS HORTALIZAS FRESCAS;1100025;LEGUMBRES Y HORTALIZAS
011240;CULTIVO DE LEGUMBRES;1100025;LEGUMBRES Y HORTALIZAS
011250;CULTIVO DE FLORES Y PLANTAS ORNAMENTALES;1100030;CULTIVO DE FLORES
011310;CULTIVO DE FRUTAS DE PEPITA;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011320;CULTIVO DE FRUTAS DE CAROZO;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011330;CULTIVO DE FRUTAS CÍTRICAS;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011340;CULTIVO DE NUECES Y FRUTAS SECAS;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011390;CULTIVO DE FRUTAS N.C.P.;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011410;CULTIVO DE PLANTAS PARA LA OBTENCIÓN DE FIBRAS;1100035;CULTIVO DE PLANTAS FRUTALES Y NO FRUTALES
011420;CULTIVO DE PLANTAS SACARÍFERAS;1100035;CULTIVO DE PLANTAS FRUTALES Y NO FRUTALES
011430;CULTIVO DE VID PARA VINIFICAR;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011440;CULTIVO DE PLANTAS PARA PREPARAR BEBIDAS;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011440;CULTIVO DE PLANTAS PARA PREPARAR BEBIDAS;1100035;CULTIVO DE PLANTAS FRUTALES Y NO FRUTALES
011450;CULTIVO DE TABACO;1100035;CULTIVO DE PLANTAS FRUTALES Y NO FRUTALES
011460;CULTIVO DE ESPECIAS Y DE PLANTAS AROMÁTICAS Y MEDICINALES;1100035;CULTIVO DE PLANTAS FRUTALES Y NO FRUTALES
011490;CULTIVOS INDUSTRIALES N.C.P.;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011490;CULTIVOS INDUSTRIALES N.C.P.;1100035;CULTIVO DE PLANTAS FRUTALES Y NO FRUTALES
011510;PRODUCCIÓN DE SEMILLAS;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011510;PRODUCCIÓN DE SEMILLAS;1100020;CEREALES,OLEAGINOSAS Y FORRAJERAS
011510;PRODUCCIÓN DE SEMILLAS;1100025;LEGUMBRES Y HORTALIZAS
011510;PRODUCCIÓN DE SEMILLAS;1100026;PAPAS Y BATATAS
011510;PRODUCCIÓN DE SEMILLAS;1100030;CULTIVO DE FLORES
011510;PRODUCCIÓN DE SEMILLAS;1100035;CULTIVO DE PLANTAS FRUTALES Y NO FRUTALES
011510;PRODUCCIÓN DE SEMILLAS;1100040;OTROS CULTIVOS NO CLASIFICADOS EN OTRA PARTE
011520;PRODUCCIÓN DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS;1100009;VID,FRUTALES,OLIVOS Y FRUTAS NO CLASIFICADAS EN OTRA PARTE
011520;PRODUCCIÓN DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS;1100020;CEREALES,OLEAGINOSAS Y FORRAJERAS
011520;PRODUCCIÓN DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS;1100025;LEGUMBRES Y HORTALIZAS
011520;PRODUCCIÓN DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS;1100026;PAPAS Y BATATAS
011520;PRODUCCIÓN DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS;1100030;CULTIVO DE FLORES
011520;PRODUCCIÓN DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS;1100035;CULTIVO DE PLANTAS FRUTALES Y NO FRUTALES
011520;PRODUCCIÓN DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS;1100040;OTROS CULTIVOS NO CLASIFICADOS EN OTRA PARTE
012110;CRÍA DE GANADO BOVINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCIÓN DE LECHE-;1100001;PRODUCCION GANADO BOVINO
012120;CRÍA DE GANADO OVINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCIÓN DE LANA-;1100003;PRODUCCION GANADO OVINO Y SU EXPLOTACION LANERA
012130;CRÍA DE GANADO PORCINO -EXCEPTO EN CABAÑAS-;1100004;CRIA DE GANADO PORCINO
012140;CRÍA DE GANADO EQUINO -EXCEPTO EN HARAS-;1100008;CRIA Y EXPLOTACION DE ANIMALES NO CLASIFICADOS EN OTRA PARTE
012150;CRÍA DE GANADO CAPRINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCIÓN DE LECHE-;1100008;CRIA Y EXPLOTACION DE ANIMALES NO CLASIFICADOS EN OTRA PARTE
012160;CRÍA DE GANADO EN CABAÑAS Y HARAS;1100008;CRIA Y EXPLOTACION DE ANIMALES NO CLASIFICADOS EN OTRA PARTE
012160;CRÍA DE GANADO EN CABAÑAS Y HARAS;1100015;CABAÑAS Y ANIMALES DE PEDIGREE
012170;PRODUCCIÓN DE LECHE;1100002;PRODUCCION DE LECHE
012180;PRODUCCIÓN DE LANA Y PELOS DE GANADO;1100003;PRODUCCION GANADO OVINO Y SU EXPLOTACION LANERA
012190;CRÍA DE GANADO N.C.P.;1100008;CRIA Y EXPLOTACION DE ANIMALES NO CLASIFICADOS EN OTRA PARTE
012210;CRÍA DE AVES  DE CORRAL;1100006;CRIA DE AVES PARA PRODUCCION DE CARNES Y HUEVOS
012220;PRODUCCIÓN DE HUEVOS;1100006;CRIA DE AVES PARA PRODUCCION DE CARNES Y HUEVOS
012230;APICULTURA;1100007;APICULTURA
012240;CRÍA DE ANIMALES PELÍFEROS, PILIFEROS Y PLUMÍFEROS;1100005;CRIA DE ANIMALES DESTINADOS A LA PRODUCCION DE PIELES
012240;CRÍA DE ANIMALES PELÍFEROS, PILIFEROS Y PLUMÍFEROS;1100008;CRIA Y EXPLOTACION DE ANIMALES NO CLASIFICADOS EN OTRA PARTE
012290;CRÍA DE ANIMALES Y OBTENCIÓN DE PRODUCTOS DE ORIGEN ANIMAL, N.C.P.;1100008;CRIA Y EXPLOTACION DE ANIMALES NO CLASIFICADOS EN OTRA PARTE
014110;SERVICIOS DE MAQUINARIA AGRÍCOLA, EXCEPTO LOS DE COSECHA MECÁNICA;8390008;CONTRATISTAS RURALES (RURALES, SIEMBRA, FUMIGACION, ETC.)
014120;SERVICIOS DE COSECHA MECÁNICA;8390008;CONTRATISTAS RURALES (RURALES, SIEMBRA, FUMIGACION, ETC.)
014130;SERVICIOS DE CONTRATISTAS DE MANO DE OBRA AGRÍCOLA;8390007;SECADO, LIMPIEZA, ETC. DE CEREALES
014130;SERVICIOS DE CONTRATISTAS DE MANO DE OBRA AGRÍCOLA;8390008;CONTRATISTAS RURALES (RURALES, SIEMBRA, FUMIGACION, ETC.)
014130;SERVICIOS DE CONTRATISTAS DE MANO DE OBRA AGRÍCOLA;8390010;SERVICIOS NO CLASIFICADOS EN OTRA PARTE
014190;SERVICIOS AGRÍCOLAS N.C.P;8390010;SERVICIOS NO CLASIFICADOS EN OTRA PARTE
014210;INSEMINACION ARTIFICIAL Y SERVICIOS N.C.P. PARA MEJORAR LA REPRODUCCION DE LOS ANIMALES Y EL RENDIMIENTO DE SUS PRODUCTOS;8390010;SERVICIOS NO CLASIFICADOS EN OTRA PARTE
014220;SERVICIOS DE CONTRATISTAS DE MANO DE OBRA PECUARIA;8390010;SERVICIOS NO CLASIFICADOS EN OTRA PARTE
014290;SERVICIOS PECUARIOS N.C.P.;8390010;SERVICIOS NO CLASIFICADOS EN OTRA PARTE
014290;SERVICIOS PECUARIOS N.C.P.;8530014;SERVICIOS DE CABALLERIZAS Y STUDS 
015010;CAZA  Y REPOBLACIÓN  DE ANIMALES DE CAZA;1300001;CAZA ORDINARIA O MEDIANTE TRAMPAS Y REPOBLACION DE ANIMALES
015020;SERVICIOS PARA LA CAZA;8390010;SERVICIOS NO CLASIFICADOS EN OTRA PARTE
020110;PLANTACIÓN DE BOSQUES;1200001;SILVICULTURA Y EXTRACCION DE MADERA
020120;REPOBLACIÓN Y CONSERVACIÓN DE BOSQUES NATIVOS Y ZONAS FORESTADAS;1200001;SILVICULTURA Y EXTRACCION DE MADERA
020130;EXPLOTACIÓN DE VIVEROS FORESTALES;1200001;SILVICULTURA Y EXTRACCION DE MADERA
020210;EXTRACCIÓN DE PRODUCTOS FORESTALES DE BOSQUES CULTIVADOS;1200001;SILVICULTURA Y EXTRACCION DE MADERA
020220;EXTRACCIÓN DE PRODUCTOS FORESTALES DE BOSQUES NATIVOS;1200001;SILVICULTURA Y EXTRACCION DE MADERA
020310;SERVICIOS FORESTALES DE EXTRACCIÓN DE MADERA;8390010;SERVICIOS NO CLASIFICADOS EN OTRA PARTE
020390;SERVICIOS FORESTALES EXCEPTO LOS RELACIONADOS CON LA EXTRACCIÓN DE MADERA;8390010;SERVICIOS NO CLASIFICADOS EN OTRA PARTE
050110;PESCA MARÍTIMA, COSTERA Y DE ALTURA;1400001;PESCA
050120;PESCA CONTINENTAL: FLUVIAL Y LACUSTRE;1400001;PESCA
050130;RECOLECCIÓN DE PRODUCTOS MARINOS;1400001;PESCA
050200;EXPLOTACIÓN DE CRIADEROS DE PECES, GRANJAS PISCÍCOLAS Y OTROS FRUTOS ACUATICOS;1400005;EXPLOTACION DE FRUTOS ACUATICOS (CRIADEROS, ALGAS, ETC)
050200;EXPLOTACIÓN DE CRIADEROS DE PECES, GRANJAS PISCÍCOLAS Y OTROS FRUTOS ACUATICOS;1400010;PESCA NO ESPECIFICADA EN OTRA PARTE
