letra,clanae,sector,dpe,dígitos,sector
A,1,1,1,Letra,"AGRICULTURA, GANADERÍA, CAZA y SERVICIOS CONEXO"
A,1,1,1,2,"Agricultura, Ganadería, Caza y Servicios Conexos"
A,11,11,11,3,Cultivos agrícolas.
A,111,111,011.1,4,"Cultivo de cereales, oleaginosas y forrajeras."
A,1111,1111,011.11,5,Cultivo de cereales excepto los forrajeros y los de semillas para siembra.
A,,,11111,6,"Trigo, excepto para siembra"
A,,,11112,6,"Cultivos de cereales, excepto los forrajeros"
A,,,011.1121,7,"Cebada cervecera, excepto para siembra"
A,1112,1112,011.12,5,Cultivo de cereales forrajeros.
A,,,11121,6,"Maíz, excepto para siembra"
A,,,11122,6,"Sorgo granífero, excepto para siembra"
A,,,11123,6,Cultivo de cereales forrajeros
A,,,111231,7,"Alpiste, excepto para siembra"
A,,,111232,7,"Avena, excepto para siembra"
A,,,011.1233,7,"Centeno, excepto para siembra"
A,,,011.1234,7,"Mijo, excepto para siembra"
A,1113,1113,011.13,5,Cultivo de oleaginosas excepto el de semillas para siembra.
A,,,11131,6,"Girasol, excepto para siembra"
A,,,11132,6,"Soja, excepto para siembra"
A,,,11133,6,"Cultivos de oleaginosas,excepto el de semillas para siembra"
A,,,011.1331,7,"Colza, excepto para siembra"
A,,,011.1332,7,"Lino, excepto para siembra"
A,1114,1114,011.14,5,Cultivo de pastos forrajeros.
A,112,11.2,011.2,4,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales."
A,1121,11.21,011.21,5,"Cultivo de papa, batata y mandioca."
A,,,11211,6,Papa
A,,,11212,6,Batata y Mandioca
A,1122,11.22,011.22,5,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto."
A,,,11221,6,Ajo
A,,,11222,6,Cebolla 
A,,,11223,6,Pimiento
A,,,11224,6,Tomate
A,,,11225,6,Zapallo
A,,,11226,6,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto n.c.p."
A,1123,11.23,011.23,5,Cultivo de hortalizas de hoja y de otras hortalizas frescas.
A,,,11231,6,Acelga
A,,,11232,6,Lechuga
A,,,11233,6,Cultivos de hortalizas de hoja y de otras hortalizas frescas n.c.p.
A,1124,11.24,011.24,5,Cultivo de legumbres.
A,,,11241,6,Poroto
A,,,11242,6,Cultivo de legumbres n.c.p.
A,1125,11.25,011.25,5,Cultivo de flores y plantas ornamentales.
A,113,11.3,011.3,4,Cultivo de frutas -excepto vid para vinificar- y nueces.
A,1131,11.31,011.31,5,Cultivo de frutas de pepita.
A,,,11311,6,Manzana
A,,,11312,6,Pera
A,,,11313,6,Cultivos de frutas de pepita n.c.p.
A,1132,11.32,011.32,5,Cultivo de frutas de carozo.
A,,,11321,6,Ciruela
A,,,11322,6,Durazno y Pelón
A,,,11323,6,Cultivos de frutas de carozo n.c.p.
A,1133,11.33,011.33,5,Cultivo de frutas cítricas.
A,,,11331,6,Limón
A,,,11332,6,Mandarina
A,,,11333,6,Naranja
A,,,11334,6,Pomelo
A,,,11335,6,Cultivos de frutas cítricas n.c.p.
A,1134,11.34,011.34,5,Cultivo de nueces y frutas secas.
A,,,11341,6,Nuez
A,,,11342,6,Cultivos de nueces y frutas secas n.c.p.
A,1135,11.35,011.35,5,Cultivo de frutas tropicales.
A,114,114,011.39,4,Cultivo de frutas n.c.p.
A,115,11.5,011.4,4,"Cultivos industriales, de especias y de plantas aromáticas y medicinales."
A,1151,11.51,011.41,5,Cultivo de plantas para la obtención de fibras.
A,12,12,011.42,5,Cultivo de plantas sacaríferas.
A,121,121,011.43,4,Cultivo de vid para vinificar.
A,1211,1211,011.44,5,Cultivo de plantas para preparar infusiones.
A,1212,1212,011.45,5,Cultivo de tabaco.
A,1213,1213,011.46,5,Cultivo de especias y de plantas aromáticas y medicinales.
A,1214,1214,011.47,5,Cultivo de frutas oleaginosas.
A,1215,1215,011.49,5,Cultivos industriales n.c.p.
A,1216,1216,011.5,4,Producción de semillas y otras formas de propagación de cultivos agrícolas.
A,1217,1217,011.51,5,Producción de semillas.
A,1218,1218,011.52,5,Producción de otras formas de propagación de cultivos agrícolas.
A,122,122,011.53,4,Servicio de procesamiento de semillas para su siembra.
A,1221,1221,12,3,Cría de animales.
A,1222,1222,012.1,4,"Cría de ganado y producción de leche, lana y pelos."
A,1223,1223,012.11,5,Cría de ganado bovino -excepto la realizada en cabañas y para la producción de leche-.
A,1224,1224,012.12,5,Cría de ganado ovino -excepto la realizada en cabañas y para la producción de lana-.
A,1229,1229,012.13,5,Cría de ganado porcino -excepto la realizada en cabañas-.
A,14,14,012.14,5,Cría de ganado equino -excepto la realizada en haras-.
A,141,141,012.15,5,Cría de ganado caprino -excepto la realizada en cabañas y para la producción de leche-.
A,1411,1411,012.16,5,Cría de ganado en cabañas y haras.
A,1412,1412,012.17,5,Producción de leche.
A,1413,1413,012.18,5,Producción de lana y pelos de ganado.
A,1419,1419,012.19,5,Cría de ganado n.c.p.
A,142,142,012.2,4,"Producción de granja y cría de animales, excepto ganado."
A,1421,1421,012.21,5,Cría de aves  de corral.
A,1422,1422,012.22,5,Producción de huevos.
A,1423,1423,012.23,5,Apicultura.
A,15,15,012.24,5,"Cría de animales pelíferos, pilíferos y plumíferos."
A,2,2,012.25,5,Cunicultura.
A,20,20,012.29,5,"Cría de animales y obtención de productos de origen animal, n.c.p."
A,201,201,13,3,Actividades agropecuarias mixtas.
A,202,202,130,4,Actividades agropecuarias mixtas.
A,2021,2021,0130.0,5,Actividades agropecuarias mixtas.
A,2022,2022,14,3,"Servicios agrícolas y pecuarios, excepto los veterinarios."
A,,,014.1,4,Servicios agrícolas.
A,,,014.11,5,"Servicios de maquinaria agrícola, excepto los de cosecha mecánica."
A,,,014.12,5,Servicios de cosecha mecánica.
A,,,014.13,5,Servicios de contratistas de mano de obra agrícola.
A,,,014.16,5,Servicio de post cosecha.
A,,,014.19,5,Servicios agrícolas n.c.p.
A,,,014.2,4,"Servicios pecuarios, excepto los veterinarios."
A,,,014.21,5,Inseminación artificial y servicios n.c.p. para mejorar la reproducción de los animales y el rendimiento de sus productos.
A,,,014.22,5,Servicios de contratistas de mano de obra pecuaria.
A,,,014.29,5,Servicios pecuarios n.c.p.
A,,,15,3,"Caza y captura de animales vivos, repoblación de animales de caza y servicios conexos."
A,,,150,4,"Caza y captura de animales vivos, repoblación de animales de caza y servicios conexos."
A,,,0150.1,5,Caza y captura de animales vivos y repoblación de animales de caza.
A,,,0150.2,5,Servicios para la caza.
A,,,2,2,"Silvicultura, Extracción de Madera y Servicios Conexos"
A,,,20,3,"Silvicultura, extracción de madera y servicios conexos."
A,,,020.1,4,Silvicultura.
A,,,020.11,5,Plantación de bosques.
A,,,020.12,5,repoblación y conservación de bosques nativos y zonas forestadas.
A,,,020.13,5,Explotación de viveros forestales.
A,,,020.2,4,Extracción de productos forestales.
A,,,020.21,5,Extracción de productos forestales de bosques cultivados.
A,,,020.22,5,Extracción de productos forestales de bosques nativos.
A,,,020.3,4,Servicios forestales.
A,,,020.31,5,Servicios forestales de extracción de madera.
A,,,020.39,5,Servicios forestales excepto los relacionados con la extracción de madera.
B,B,B,B,Letra,PESCA Y SERVICIOS CONEXOS
B,5,5,5,2,"Pesca, Explotación de Criaderos de Peces, Granjas Piscícolas y Servicios Conexos"
B,50,50,50,3,Pesca y servicios conexos.
B,501,050.1,050.1,4,Pesca y recolección de productos marinos.
B,5011,050.11,050.11,5,Pesca marítima: costera y de altura.
B,,50111,50111,6,Costeros Chicos
B,,50112,50112,6,Costeros grandes
B,,50113,50113,6,Fresqueros 
B,,50114,50114,6,Congeladores
B,5012,050.12,050.12,5,Pesca continental: fluvial y lacustre.
B,502,050.2,050.13,4,Recolección de productos marinos.
B,503,050.3,050.2,3,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)."
B,,,050.20,5,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)."
B,,,050.3,4,Servicios para la pesca.
B,,,050.30,5,Servicios para la pesca.
C,,,,Letra,EXPLOTACIÓN DE MINAS Y CANTERAS
C,,,,2,"Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección"
C,,,,5,Extracción de petróleo crudo y gas natural
C,,,,5,"Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección"
C,,,,2,Explotación de minas y canteras n.c.p.
C,,,,5,Extracción de rocas ornamentales
C,,,,5,Extracción de piedra caliza y yeso
C,,,,5,"Extracción de arenas, canto rodado y triturados pétreos"
C,,,,5,Extracción de arcilla y caolín
C,,,,5,Extracción de minerales para la fabricación de productos químicos
C,,,,5,Extracción de sal en salinas y de roca
