letra,clanae,sector,dpe,dígitos,sector
C,,,,5,Explotación de minas y canteras n.c.p.
D,D,D,D,Letra,INDUSTRIA MANUFACTURERA
D,,,15,2,Elaboración De Productos Alimenticios Y Bebidas
D,,,151,3,"Producción y procesamiento de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas"
D,,,1511,4,Producción y procesamiento de carne y productos carnicos
D,,,15111,5,Matanza de ganado y procesamiento de su carne
D,,,15112,5,Producción y procesamiento de carne de aves
D,,,15113,5,Elaboración de fiambres y embutidos
D,,,15119,5,Matanza de animales n.c.p. y procesamiento de su carne; Elaboración de subproductos carnicos n.c.p.
D,,,1512,4,Elaboración de pescado y productos de pescado
D,,,15120,5,Elaboración de pescado y productos de pescado
D,,,1513,4,"Preparación de frutas, hortalizas y legumbres"
D,,,15131,5,"Preparación de conservas de frutas, hortalizas y legumbres"
D,,,15132,5,"Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres"
D,,,15134,5,"Elaboración de frutas, hortalizas y legumbres congeladas"
D,,,15139,5,"Elaboración de frutas, hortalizas y legumbres deshidratadas o desecadas; preparación n.c.p. de frutas, hortalizas y legumbres"
D,,,1514,4,Elaboración de aceites y grasas de origen vegetal
D,,,15140,5,Elaboración de aceites y grasas de origen vegetal
D,,,152,3,Elaboración de productos lácteos
D,,,1520,4,Elaboración de productos lácteos
D,,,15201,5,Elaboración de leches y productos lácteos deshidratados
D,,,15202,5,Elaboración de quesos
D,,,15203,5,Elaboración industrial de helados
D,,,15209,5,Elaboración de productos lácteos n.c.p.
D,,,153,3,"Elaboración de productos de molinería, almidones y productos derivados del almidón; Elaboración de alimentos preparados para animales"
D,,,1531,4,Elaboración de productos de molinería
D,,,15311,5,Molienda de trigo
D,,,15312,5,Preparación de arroz
D,,,15313,5,Preparación y molienda de legumbres y cereales -excepto trigo y arroz y molienda húmeda de maíz)-
D,,,1532,4,Elaboración de almidones y productos derivados del almidón
D,,,15320,5,Elaboración de almidones y productos derivados del almidón
D,,,1533,4,Elaboración de alimentos preparados para animales
D,,,15330,5,Elaboración de alimentos preparados para animales
D,,,154,3,Elaboración de productos alimenticios n.c.p.
D,,,1541,4,Elaboración de productos de panadería
D,,,15411,5,Elaboración de galletitas y bizcochos
D,,,15412,5,"Elaboración de productos de panadería, excluido galletitas y bizcochos"
D,,,1542,4,Elaboración de azúcar
D,,,15420,5,Elaboración de azúcar
D,,,1543,4,Elaboración de cacao y chocolate y de productos de confitería
D,,,15430,5,Elaboración de cacao y chocolate y de productos de confitería
D,,,1544,4,Elaboración de pastas alimenticias
D,,,15441,5,Elaboración de pastas alimenticias frescas
D,,,15442,5,Elaboración de pastas alimenticias secas
D,,,1549,4,Elaboración de productos alimenticios n.c.p.
D,,,15491,5,"Tostado, torrado y molienda de café; elaboración y  molienda de hierbas aromáticas y especias"
D,,,15492,5,Preparación de hojas de te
D,,,15493,5,Elaboración de yerba mate
D,,,15499,5,Elaboración de productos alimenticios n.c.p.
D,,,155,3,Elaboración de bebidas
D,,,1551,4,"Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico"
D,,,15511,5,Destilación de alcohol etílico
D,,,15512,5,"Destilación, rectificación y mezcla de bebidas espiritosas"
D,,,1552,4,Elaboración de vinos y otras bebidas fermentadas a partir de frutas
D,,,15521,5,Elaboración de vinos
D,,,15529,5,Elaboración de sidra y otras bebidas alcohólicas fermentadas a partir de frutas
D,,,1553,4,"Elaboración de cerveza, bebidas malteadas y de malta"
D,,,15530,5,"Elaboración de cerveza, bebidas malteadas y de malta"
D,,,1554,4,Elaboración de bebidas no alcohólicas; producción de aguas minerales
D,,,15541,5,Elaboración de soda y aguas
D,,,15542,5,"Elaboración de bebidas gaseosas, excepto soda"
D,,,15549,5,"Elaboración de hielo, jugos envasados para diluir y otras bebidas no alcohólicas"
D,,,158,3,Servicios industriales para la elaboración de alimentos y bebidas
D,,,1580,4,Servicios industriales para la elaboración de alimentos y bebidas
D,,,15800,5,Servicios industriales para la elaboración de alimentos y bebidas
D,,,16,2,Elaboración De Productos De Tabaco
D,,,160,3,Elaboración de productos de tabaco
D,,,1600,4,Elaboración de productos de tabaco
D,,,16001,5,Preparación de hojas de tabaco
D,,,16009,5,Elaboración de cigarrillos y  productos de tabaco n.c.p.
D,,,17,2,Fabricación De Productos Textiles
D,,,171,3,fabricación de hilados y tejidos; acabado de productos textiles
D,,,1711,4,Preparación e hilandería de fibras textiles; tejeduría de productos textiles
D,,,17111,5,Preparación de fibras textiles vegetales; desmotado de algodón
D,,,17112,5,Preparación de fibras animales de uso textil; lavado de lana
D,,,17113,5,Fabricación de hilados de fibras textiles
D,,,17114,5,"Fabricación de tejidos textiles, incluso en hilanderías y tejedurias integradas"
D,,,17115,5,Fabricación de tejidos de punto
D,,,1712,4,Acabado de productos textiles
D,,,17120,5,Acabado de productos textiles
D,,,172,3,Fabricación de productos textiles n.c.p.
D,,,1721,4,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir"
D,,,17210,5,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir"
D,,,1722,4,Fabricación de tapices y alfombras
D,,,1723,4,"Fabricación de cuerdas, cordeles, bramantes y redes"
D,,,1729,4,Fabricación de productos textiles n.c.p.
D,,,17290,5,Fabricación de productos textiles n.c.p.
D,,,18,2,Fabricación De Prendas De Vestir; Terminación Y Teñido De Pieles
D,,,181,3,"Fabricación de prendas de vestir, excepto prendas de piel"
D,,,1811,4,"Confección de prendas de vestir, excepto prendas de piel y cuero"
D,,,18110,5,"Confección de prendas de vestir, excepto prendas de piel y cuero"
D,,,1812,4,Confección de prendas y accesorios de vestir de cuero
D,,,18120,5,Confección de prendas y accesorios de vestir de cuero
D,,,182,3,"Terminación y teñido de pieles; fabricación de prendas, accesorios de vestir y otros artículos de piel"
D,,,1820,4,"Terminación y teñido de pieles; fabricación de prendas, accesorios de vestir y otros artículos de piel"
D,,,184,3,Fabricación de indumentaria de punto
D,,,1840,4,Fabricación de indumentaria de punto
D,,,18401,5,Fabricación de medias
D,,,18402,5,Fabricación de suéteres y artículos similares de punto
D,,,189,3,Servicios industriales para la industria confeccionista
D,,,1890,4,Servicios industriales para la industria confeccionista
D,,,18900,5,Servicios industriales para la industria confeccionista
D,,,19,2,"Curtido Y Terminación De Cueros; Fabricación De Artículos De Marroquinería, Talabartería Y Calzado Y De Sus Partes"
D,,,191,3,Curtido y terminación de cueros; fabricación de artículos de marroquinería y talabartería
D,,,1911,4,Curtido y terminación de cueros
D,,,19110,5,Curtido y terminación de cueros
D,,,1912,4,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y  artículos de cuero n.c.p."
D,,,19120,5,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y artículos de cuero n.c.p."
D,,,192,3,Fabricación de calzado y de sus partes
D,,,1920,4,Fabricación de calzado y de sus partes
D,,,19201,5,"Fabricación de calzado de cuero, excepto el ortopédico"
D,,,19202,5,"Fabricación de calzado de tela, plástico, goma, caucho y otros materiales, excepto calzado ortopédico y de asbesto"
D,,,19203,5,Fabricación de partes de calzado
D,,,20,2,"Producción De Madera Y Fabricación De Productos De Madera Y Corcho, Excepto Muebles; Fabricación De Artículos De Paja Y De Materiales Trenzables"
D,,,201,3,Aserrado y cepillado de madera
D,,,2010,4,Aserrado y cepillado de madera
D,,,20100,5,Aserrado y cepillado de madera
D,,,202,3,"Fabricación de productos de madera, corcho, paja y materiales trenzables"
D,,,2021,4,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas, y  tableros y paneles n.c.p."
D,,,20210,5,Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados; tableros laminados; tableros de partículas y tableros y paneles n.c.p.
D,,,2022,4,Fabricación de partes y piezas de carpintería para edificios y Construcciones
D,,,20220,5,Fabricación de partes y piezas de carpintería para edificios y Construcciones
D,,,2023,4,Fabricación de recipientes de madera
D,,,20230,5,Fabricación de recipientes de madera
D,,,2029,4,"Fabricación de productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables"
D,,,20290,5,"Fabricación de productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables"
D,,,21,2,Fabricación De Papel Y De  Productos De Papel
D,,,210,3,Fabricación de papel y de productos de papel
D,,,2101,4,"Fabricación de pasta de madera, papel y cartón"
D,,,21010,5,"Fabricación de pasta de madera, papel y cartón"
D,,,2102,4,Fabricación de papel y cartón ondulado y envases de papel y cartón
D,,,21020,5,Fabricación de papel y cartón ondulado y de envases de papel y cartón
D,,,2109,4,Fabricación de  artículos de papel y cartón
D,,,21091,5,Fabricación de artículos de papel y cartón de uso domestico e higiénico sanitario
D,,,21099,5,Fabricación de artículos de papel y cartón n.c.p.
D,,,22,2,Edición E Impresión; Reproducción De Grabaciones
D,,,221,3,Edición
D,,,2211,4,"Edición de libros, folletos, partituras y otras publicaciones"
D,,,22110,5,"Edición de libros, folletos, partituras y otras publicaciones"
D,,,2212,4,"Edición de periódicos, revistas y publicaciones periódicas"
D,,,22120,5,"Edición de periódicos, revistas y publicaciones periódicas"
D,,,2213,4,Edición de grabaciones
D,,,2219,4,Edición n.c.p.
D,,,22190,5,Reproducción de grabaciones y edición n.c.p.
D,,,222,3,Impresión y servicios conexos
D,,,2221,4,Impresión
D,,,22210,5,Impresión
D,,,2222,4,Servicios relacionados con la impresión
D,,,22220,5,Servicios relacionados con la impresión
D,,,23,2,"Fabricación De Coque, Productos De La Refinación Del Petróleo Y Combustible Nuclear"
D,,,231,3,Fabricación de productos de hornos de coque
D,,,2310,4,Fabricación de productos de hornos de coque
D,,,23100,5,Fabricación de productos de hornos de coque
D,,,232,3,Fabricación de productos de la refinación del petróleo
D,,,2320,4,Fabricación de productos de la refinación del petróleo
D,,,23200,5,Fabricación de productos de la refinación del petróleo
D,,,233,3,Elaboración de combustible nuclear
D,,,2330,4,Elaboración de combustible nuclear
D,,,23300,5,Fabricación de combustible nuclear
D,,,24,2,Fabricación De Sustancias Y Productos Químicos
D,,,241,3,Fabricación de sustancias químicas básicas
D,,,2411,4,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno"
D,,,24111,5,Fabricación de gases comprimidos y licuados.
D,,,24119,5,"Fabricación de materias químicas básicas, n.c.p."
D,,,2412,4,Fabricación de abonos y compuestos de nitrógeno
D,,,24120,5,Fabricación de abonos y compuestos de nitrógeno
D,,,2413,4,Fabricación de plásticos en formas primarias y de caucho sintético
D,,,24130,5,Fabricación de plásticos en formas primarias y de caucho sintético
D,,,242,3,Fabricación de productos químicos n.c.p.
D,,,2421,4,Fabricación de plaguicidas y  productos químicos de uso agropecuario
D,,,24210,5,Fabricación de plaguicidas y  productos químicos de uso agropecuario
D,,,2422,4,Fabricación de pinturas; barnices y productos de revestimiento similares; tintas de imprenta y masillas
D,,,24220,5,Fabricación de pinturas; barnices y productos de revestimiento similares; tintas de imprenta y masillas
D,,,2423,4,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos"
D,,,24231,5,Fabricación de medicamentos de uso humano y productos farmacéuticos
D,,,24232,5,Fabricación de medicamentos de uso veterinario
D,,,24233,5,Fabricación de sustancias químicas para la elaboración de medicamentos
D,,,24239,5,Fabricación de productos de laboratorio y productos botánicos n.c.p.
D,,,2424,4,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
D,,,24241,5,Fabricación de jabones y preparados de limpieza
D,,,24249,5,"Fabricación de cosméticos, perfumes y  productos de higiene y tocador"
D,,,2429,4,Fabricación de productos químicos n.c.p.
D,,,24290,5,Fabricación de productos químicos n.c.p.
D,,,25,2,Fabricación De Productos De Caucho Y Plástico
D,,,251,3,Fabricación de productos de caucho
D,,,2511,4,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho
D,,,25110,5,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho
D,,,2519,4,Fabricación de productos de caucho n.c.p.
D,,,25190,5,Fabricación de  productos de caucho n.c.p.
D,,,252,3,Fabricación de productos de plástico
D,,,2520,4,Fabricación de productos de plástico
D,,,25201,5,Fabricación de envases plásticos
D,,,25209,5,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles"
D,,,26,2,Fabricación De Productos Minerales No Metálicos
D,,,261,3,Fabricación de vidrio y productos de vidrio
D,,,2610,4,Fabricación de vidrio y productos de vidrio
D,,,26101,5,Fabricación de envases de vidrio
D,,,26102,5,Fabricación y elaboración de vidrio plano
D,,,26109,5,Fabricación de productos de vidrio n.c.p.
D,,,269,3,Fabricación de productos minerales no metálicos n.c.p.
D,,,2691,4,Fabricación de productos de cerámica no refractaria para uso no estructural
D,,,26910,5,Fabricación de productos de cerámica no refractaria para uso no estructural
D,,,2692,4,Fabricación de productos de cerámica refractaria
D,,,26920,5,Fabricación de productos de cerámica refractaria
D,,,2693,4,Fabricación de productos de arcilla y cerámica no refractaria para uso estructural
D,,,26930,5,Fabricación de productos de arcilla y cerámica no refractaria para uso estructural
D,,,2694,4,"Elaboración de cemento, cal y yeso"
D,,,26941,5,Elaboración de cemento
D,,,26942,5,Elaboración de cal y yeso
D,,,2695,4,"Fabricación de artículos de hormigón, cemento y yeso"
D,,,26951,5,Fabricación de mosaicos
D,,,26959,5,"Fabricación de artículos de cemento, fibrocemento y yeso excepto mosaicos"
D,,,2696,4,"Corte, tallado y acabado de la piedra"
D,,,26960,5,"Corte, tallado y acabado de la piedra"
D,,,2699,4,Fabricación de productos minerales no metálicos n.c.p.
D,,,26990,5,Fabricación de productos minerales no metálicos n.c.p.
D,,,27,2,Fabricación De Metales Comunes
D,,,271,3,Industrias básicas de hierro y acero
D,,,2710,4,Industrias básicas de hierro y acero
D,,,27100,5,Industrias básicas de hierro y acero
D,,,272,3,Fabricación de productos primarios de metales preciosos y metales no ferrosos
D,,,2720,4,Fabricación de productos primarios de metales preciosos y metales no ferrosos
D,,,27201,5,Elaboración de aluminio primario y semielaborados de aluminio
D,,,27209,5,Producción de metales no ferrosos n.c.p. y sus semielaborados
D,,,273,3,Fundición de metales
D,,,2731,4,Fundición de hierro y acero
D,,,27310,5,Fundición de hierro y acero
D,,,2732,4,Fundición de metales no ferrosos
D,,,27320,5,Fundición de metales no ferrosos
D,,,28,2,"Fabricación De Productos Elaborados De Metal, Excepto Maquinaria Y Equipo"
D,,,281,3,"Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor"
D,,,2811,4,Fabricación de productos metálicos para uso estructural y montaje estructural
D,,,28110,5,Fabricación de productos metálicos para uso estructural y montaje estructural
D,,,2812,4,"Fabricación de tanques, depósitos y recipientes de metal"
D,,,28120,5,"Fabricación de tanques, depósitos y recipientes de metal"
D,,,2813,4,Fabricación de generadores de vapor
D,,,28130,5,Fabricación de generadores de vapor
D,,,289,3,Fabricación de productos elaborados de metal n.c.p.; servicios de trabajo de metales
D,,,2891,4,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia"
D,,,28910,5,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia"
D,,,2892,4,Tratamiento y revestimiento de metales; obras de ingeniería mecánica en general realizadas a cambio de una retribución o por contrata
D,,,28920,5,Tratamiento y revestimiento de metales; obras de ingeniería mecánica en general realizadas a cambio de una retribución o por contrata
D,,,2893,4,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
D,,,28930,5,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
D,,,2899,4,Fabricación de productos elaborados de metal  n.c.p.
D,,,28991,5,Fabricación de envases metálicos
D,,,28999,5,Fabricación de productos metálicos n.c.p.
D,,,29,2,Fabricación De Maquinaria Y Equipo N.C.P.
D,,,291,3,Fabricación de maquinaria de uso general
D,,,2911,4,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
D,,,29110,5,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
D,,,2912,4,Fabricación de bombas; compresores; grifos y válvulas
D,,,29121,5,Fabricación de bombas
D,,,29122,5,Fabricación de compresores; grifos y válvulas
D,,,2913,4,Fabricación de cojinetes; engranajes; trenes de engranaje y piezas de transmisión
D,,,29130,5,Fabricación de cojinetes; engranajes; trenes de engranaje y piezas de transmisión
D,,,2914,4,Fabricación de hornos; hogares y quemadores
D,,,29140,5,Fabricación de hornos; hogares y quemadores
D,,,2915,4,Fabricación de equipo de elevación y manipulación
D,,,29150,5,Fabricación de equipo de elevación y manipulación
D,,,2919,4,Fabricación de  maquinaria de uso general n.c.p.
D,,,29190,5,Fabricación de maquinaria y equipo de uso general n.c.p.
D,,,292,3,Fabricación de maquinaria de uso especial
D,,,2921,4,Fabricación de maquinaria agropecuaria
D,,,29211,5,Fabricación de tractores
D,,,29212,5,Fabricación de maquinaria agrícola
D,,,29213,5,Fabricación de implementos agrícolas
D,,,2929,4,Fabricación de maquinaria de uso especial n.c.p.
D,,,29290,5,Fabricación de maquinaria de uso especial n.c.p.; Fabricación de armas y municiones
D,,,293,3,Fabricación de aparatos de uso domestico n.c.p.
D,,,2930,4,Fabricación de aparatos de uso domestico n.c.p.
D,,,29300,5,Fabricación de aparatos de uso domestico n.c.p.
D,,,30,2,"Fabricación De Maquinaria De Oficina, Contabilidad E Informática"
D,,,300,3,"Fabricación de maquinaria de oficina, contabilidad e informática"
D,,,3000,4,"Fabricación de maquinaria de oficina, contabilidad e informática"
D,,,30000,5,"Fabricación de maquinaria de oficina, contabilidad e informática"
D,,,31,2,Fabricación De Maquinaria Y Aparatos Eléctricos  N.C.P.
D,,,311,3,"Fabricación de motores, generadores y transformadores eléctricos"
D,,,3110,4,"Fabricación de motores, generadores y transformadores eléctricos"
D,,,31100,5,"Fabricación de motores, generadores y transformadores eléctricos"
D,,,312,3,Fabricación de aparatos de distribución y control de la energía eléctrica
D,,,3120,4,Fabricación de aparatos de distribución y control de la energía eléctrica
D,,,31200,5,Fabricación de aparatos de distribución y control de la energía eléctrica
D,,,313,3,Fabricación de hilos y cables aislados
D,,,3130,4,Fabricación de hilos y cables aislados
D,,,31300,5,Fabricación de cables de fibra óptica; Fabricación de hilos y cables aislados
D,,,314,3,"Fabricación de acumuladores, pilas y baterías primarias"
D,,,3140,4,"Fabricación de acumuladores, pilas y baterías primarias"
D,,,31400,5,"Fabricación de acumuladores, pilas y baterías primarias"
D,,,315,3,Fabricación de lámparas eléctricas y equipo de iluminación
D,,,3150,4,Fabricación de lámparas eléctricas y equipo de iluminación
D,,,31500,5,Fabricación de lámparas eléctricas y equipo de iluminación
D,,,319,3,Fabricación  de equipo eléctrico n.c.p.
D,,,3190,4,Fabricación  de equipo eléctrico n.c.p.
D,,,31900,5,Fabricación  de equipo eléctrico n.c.p.
D,,,32,2,"Fabricación De Equipos Y Aparatos De Radio, Televisión Y Comunicaciones"
D,,,321,3,"Fabricación de tubos, válvulas  y otros  componentes electrónicos"
D,,,3210,4,"Fabricación de tubos, válvulas  y otros  componentes electrónicos"
