CLANAE10 ID,CLANAE10 label,CIIU4 ID
A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",
1,"AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS DE APOYO",
11,Cultivos temporales,
111,"Cultivo de cereales y forrajeras, excepto oleaginosas",
1111,"Cultivo de cereales, excepto los de uso forrajero",111
1111,"Cultivo de cereales, excepto los de uso forrajero",112
1112,Cultivo de cereales de uso forrajero,111
1113,Cultivo de pastos de uso forrajero,111
112,Cultivo de oleaginosas,
1121,Cultivo de soja,111
1129,"Cultivo de oleaginosas n.c.p., excepto soja",111
113,Cultivo de hortalizas y legumbres,
1131,"Cultivo de papa, batata y mandioca",113
1132,"Cultivo de bulbos, brotes, raíces y hortalizas de fruto ",113
1133,Cultivo de hortalizas de hoja y de otras hortalizas frescas,113
1134,Cultivo de legumbres,113
114,Cultivo de tabaco,
1140,Cultivo de tabaco,115
115,Cultivo de plantas para la obtención de fibras,
1150,Cultivo de plantas para la obtención de fibras,116
119,Cultivos temporales n.c.p.,
1191,Cultivo de flores y plantas ornamentales,119
1199,Cultivos temporales n.c.p.,119
12,Cultivos perennes,
121,Cultivo de uva,
1211,Cultivo de uva para vinificar ,121
1212,Cultivo de uva de mesa,121
122,Cultivo de frutas cítricas,
1220,Cultivo de frutas cítricas,123
123,Cultivo de frutas de pepita y carozo,
1231,Cultivo de frutas de pepita,124
1232,Cultivo de frutas de carozo,124
124,"Cultivo de frutas tropicales y subtropicales, frutas secas y frutas n.c.p.",
1241,Cultivo de frutas tropicales y subtropicales,122
1242,Cultivo de frutas secas,125
1249,Cultivo de frutas n.c.p.,125
125,Cultivo de caña de azúcar y de otras plantas sacaríferas,
1251,Cultivo de caña de azúcar,114
1259,Cultivo de plantas sacaríferas n.c.p.,113
126,Cultivo de frutos oleaginosos,
1260,Cultivo de frutos oleaginosos,126
127,Cultivo de plantas para preparar infusiones,
1270,Cultivo de plantas para preparar infusiones,127
128,Cultivo de especias y de plantas aromáticas y medicinales,
1280,Cultivo de especias y de plantas aromáticas y medicinales,128
129,Cultivos perennes n.c.p.,
1290,Cultivos perennes n.c.p.,129
13,Producción de semillas y de otras formas de propagación de cultivos agrícolas,
130,Producción de semillas y de otras formas de propagación de cultivos agrícolas,
1301,Producción de semillas,130
